Angulo,Xzmp-Loli,,,
0,0,,,
0,0.07,,,
0,0.02,,,
0,0.02,,,
0,0.03,,,
0,0.02,,,
0,0,,,
0,0.02,,,
0,-0.04,,,
0,0.03,,,
0,0.01,,,
0,0,,,
0,0.05,,,
0,0.01,,,
0,-0.1,,,
0,0.01,,,
0,-0.04,,,
0,0.03,,,
0,0.05,,,
0,0.02,,,
0,-0.01,,,
0,-0.01,,,
0,-0.02,,,
0,-0.04,,,
0,0.01,,,
0,0.04,,,
0,-0.05,,,
0,0.02,,,
0,-0.04,,,
0,0.04,,,
0,0.04,,,
0,0.02,,,
0,0,,,
0,0.04,,,
0,0.01,,,
0,0.03,,,
0,0.02,,,
0,-0.05,,,
0,0.05,,,
0,-0.03,,,
0,-0.05,,,
0,0,,,
0,-0.02,,,
0,0.05,,,
0,0.03,,,
0,-0.05,,,
0,0.08,,,
0,-0.12,,,
0,-0.05,,,
0,-0.04,,,
0,-0.07,,,
0,-0.05,,,
0,-0.09,,,
0,-0.06,,,
0,0.03,,,
0,0.03,,,
0,-0.07,,,
0,-0.12,,,
0,-0.04,,,
0,-0.02,,,
0,0.05,,,
0,-0.06,,,
0,0.01,,,
0,-0.05,,,
0,-0.03,,,
0,0,,,
0,0.02,,,
0,-0.03,,,
0,-0.01,,,
0,-0.04,,,
0,0.02,,,
0,0.08,,,
0,-0.05,,,
0,0.07,,,
0,0.04,,,
0,0.02,,,
0,0.03,,,
0,0.02,,,
0,0,,,
0,-0.02,,,
0,0.04,,,
0,0.05,,,
0,0.06,,,
0,0.14,,,
0,0.06,,,
0,0.07,,,
0,0.04,,,
0,0.14,,,
0,0.11,,,
0,0.03,,,
0,0.03,,,
0,0.12,,,
0,0.09,,,
0,0.08,,,
0,0.02,,,
0,0.07,,,
0,0.06,,,
0,0.08,,,
0,0.09,,,
0,0.13,,,
0,0.13,,,
0,0.09,,,
0,0.14,,,
0,0.09,,,
0,0.07,,,
0,0.15,,,
0,0.24,,,
0,0.25,,,
0,0.24,,,
0,0.34,,,
0,0.23,,,
0,0.22,,,
0,0.17,,,
0,0.21,,,
0,0.16,,,
0,0.24,,,
0,0.04,,,
0,0.08,,,
0,0.16,,,
0,0.15,,,
0,0.15,,,
0,0.14,,,
0,0.1,,,
0,0.19,,,
0,0.18,,,
0,0.15,,,
0,0.14,,,
0,0.18,,,
0,0.06,,,
0,0.06,,,
0,-0.03,,,
0,-0.08,,,
0,-0.16,,,
0,-0.12,,,
0,-0.2,,,
0,-0.15,,,
0,-0.14,,,
0,-0.09,,,
0,-0.24,,,
0,-0.05,,,
0,-0.09,,,
0,-0.1,,,
0,-0.1,,,
0,-0.09,,,
0,0,,,
0,-0.08,,,
0,-0.13,,,
0,-0.08,,,
0,-0.04,,,
0,-0.12,,,
0,-0.07,,,
0,-0.1,,,
0,-0.13,,,
0,-0.05,,,
0,-0.09,,,
0,-0.05,,,
0,-0.08,,,
0,-0.03,,,
0,-0.1,,,
0,-0.03,,,
0,-0.11,,,
0,-0.11,,,
0,-0.12,,,
0,-0.12,,,
0,-0.1,,,
0,-0.18,,,
0,-0.15,,,
0,-0.08,,,
0,-0.08,,,
0,-0.11,,,
0,-0.04,,,
0,-0.07,,,
0,-0.08,,,
0,-0.11,,,
0,-0.09,,,
0,-0.1,,,
0,-0.09,,,
0,-0.1,,,
0,-0.13,,,
0,-0.05,,,
0,-0.05,,,
0,-0.04,,,
0,-0.06,,,
0,0.01,,,
0,-0.12,,,
0,-0.04,,,
0,-0.08,,,
0,0.08,,,
0,-0.07,,,
0,-0.07,,,
0,-0.07,,,
0,-0.1,,,
0,-0.12,,,
0,-0.08,,,
0,-0.16,,,
0,-0.08,,,
0,-0.18,,,
0,-0.07,,,
0,-0.08,,,
0,-0.04,,,
0,-0.13,,,
0,-0.17,,,
0,-0.06,,,
0,-0.15,,,
0,-0.08,,,
0,-0.13,,,
0,-0.12,,,
0,-0.06,,,
0,-0.08,,,
0,-0.19,,,
0,-0.14,,,
0,-0.09,,,
0,-0.07,,,
0,-0.09,,,
0,-0.12,,,
0,-0.08,,,
0,-0.13,,,
0,-0.11,,,
0,-0.09,,,
0,-0.13,,,
0,-0.06,,,
0,-0.03,,,
0,-0.1,,,
0,-0.07,,,
0,-0.02,,,
0,-0.03,,,
0,-0.07,,,
0,-0.06,,,
0,-0.07,,,
0,0,,,
0,-0.14,,,
0,-0.07,,,
0,-0.06,,,
0,-0.07,,,
0,-0.13,,,
0,-0.04,,,
0,-0.02,,,
0,-0.06,,,
0,-0.09,,,
0,-0.08,,,
0,0,,,
0,-0.1,,,
0,-0.12,,,
0,-0.21,,,
0,-0.15,,,
0,-0.11,,,
0,-0.07,,,
0,-0.01,,,
0,-0.04,,,
0,-0.1,,-0.1,2.58864
0,-0.02,,-0.02,
0,-0.07,,-0.07,
0,-0.04,,-0.04,
0,-0.05,,-0.05,
0,-0.09,,-0.09,
0,0.02,,0.02,
0,0.03,,0.03,
0,-0.09,,-0.09,
0,-0.11,,-0.11,
0,-0.12,,-0.12,
0,-0.05,,-0.05,
0,-0.09,,-0.09,
0,-0.08,,-0.08,
0,-0.2,,-0.2,
0,-0.13,,-0.13,
0,-0.1,,-0.1,
0,-0.08,,-0.08,
0,-0.11,,-0.11,
0,-0.09,,-0.09,
0,-0.08,,-0.08,
0,-0.08,,-0.08,
0,-0.1,,-0.1,
0,-0.1,,-0.1,
0,-0.1,,-0.1,
0,-0.06,,-0.06,
0,-0.13,,-0.13,
0,0,,0,
0,-0.13,,-0.13,
0,-0.01,,-0.01,
0,-0.03,,-0.03,
0,-0.03,,-0.03,
0,0.04,,0.04,
0,0.05,,0.05,
0,0.08,,0.08,
0,0.07,,0.07,
0,-0.04,,-0.04,
0,-0.06,,-0.06,
0,-0.05,,-0.05,
0,0.03,,0.03,
0,-0.01,,-0.01,
0,0.02,,0.02,
0,0.07,,0.07,
0,-0.03,,-0.03,
0,-0.05,,-0.05,
0,0.02,,0.02,
0,0.05,,0.05,
0,-0.04,,-0.04,
0,-0.05,,-0.05,
0,-0.03,,-0.03,
0,-0.02,,-0.02,
0,-0.03,,-0.03,
0,-0.01,,-0.01,
0,-0.08,,-0.08,
0,-0.01,,-0.01,
0,0.02,,0.02,
0,0,,0,
0,-0.02,,-0.02,
0,0.1,,0.1,
0,-0.02,,-0.02,
0,0.02,,0.02,
0,0.04,,0.04,
0,0.03,,0.03,
0,-0.03,,-0.03,
0,0.02,,0.02,
0,-0.03,,-0.03,
0,0.07,,0.07,
0,-0.02,,-0.02,
0,0,,0,
0,-0.05,,-0.05,
0,0.05,,0.05,
0,0.08,,0.08,
0,0.01,,0.01,
0,0.04,,0.04,
0,-0.04,,-0.04,
0,-0.02,,-0.02,
0,-0.04,,-0.04,
0,-0.08,,-0.08,
0,0.07,,0.07,
0,-0.09,,-0.09,
0,0,,0,
0,0.04,,0.04,
0,-0.01,,-0.01,
0,0.02,,0.02,
0,-0.08,,-0.08,
0,-0.13,,-0.13,
0,-0.06,,-0.06,
0,-0.06,,-0.06,
0,-0.2,,-0.2,
0,-0.12,,-0.12,
